season,team_code,coach,start_date,end_date,source_url
20222023,BEL,Troy Mann,2022-10-01,2023-02-02,https://www.tsn.ca/ahl/ahl-belleville-senators-fire-head-coach-troy-mann-1.1914610
20222023,BEL,David Bell,2023-02-03,2023-04-30,https://silversevensens.com/2023/2/2/23583993/senators-fire-troy-mann-name-david-bell-head-coach-of-belleville-nhl-ottawa
20232024,HFD,Kris Knoblauch,2023-10-01,2023-11-11,https://bluelinestation.com/2023/11/12/hartford-wolf-pack-losing-head-coach-kris-knoblauch-edmonton/
20232024,HFD,Steve Smith,2023-11-12,2024-04-30,https://www.oursportscentral.com/services/releases/wolf-pack-name-steve-smith-interim-head-coach/n-6030711
20232024,SPR,Drew Bannister,2023-10-01,2023-12-12,https://www.westernmassnews.com/2023/12/13/springfield-thunderbirds-head-coach-drew-bannister-selected-new-interim-head-coach-st-louis-blues/
20232024,SPR,Daniel Tkaczuk,2023-12-13,2024-04-30,https://www.springfieldthunderbirds.com/news/detail/blues-name-drew-bannister-interim-head-coach-tkaczuk-named-interim-t-birds-head-coach
20242025,CGY,Trent Cull,2024-07-17,2024-12-22,https://www.nhl.com/flames/news/flames-announce-interim-coaching-appointments
20242025,CGY,Joe Cirella,2024-12-23,2025-01-31,https://www.nhl.com/flames/news/flames-announce-interim-coaching-appointments
20242025,CGY,Brett Sutter,2025-02-01,2025-02-14,https://ca.sports.yahoo.com/news/wranglers-announce-interim-coach-two-030000405.html
20242025,CGY,Joe Cirella,2025-02-15,2025-04-30,https://www.nhl.com/flames/news/flames-announce-interim-coaching-appointments
20242025,UTC,Kevin Dineen,2024-10-01,2024-11-05,https://www.romesentinel.com/sports/kevin-dineen-fired-as-utica-comets-coach-winless-start-2024-25/article_79af753e-9c8b-11ef-9435-d70b8a485ed5.html
20242025,UTC,Ryan Parent,2024-11-06,2025-04-30,https://www.uticacomets.com/news/detail/devils-name-ryan-parent-interim-head-coach-of-utica-comets
20242025,RFD,Anders Sorensen,2024-07-01,2024-12-04,https://www.nhl.com/blackhawks/news/release-blackhawks-hire-anders-sorensen-and-michael-peca-as-assistant-coaches
20242025,RFD,Jared Nightingale,2024-12-05,2025-04-30,https://www.nhl.com/blackhawks/news/release-jared-nightingale-named-head-coach-of-rockford-icehogs
20252026,CHI,Cam Abbott,2025-10-01,2025-12-11,https://www.nhl.com/hurricanes/news/canes-relieve-wolves-cam-abbott-of-duties
20252026,CHI,Spiros Anastas,2025-12-12,2026-04-30,https://www.nhl.com/hurricanes/news/canes-relieve-wolves-cam-abbott-of-duties
20252026,BEL,David Bell,2025-10-01,2025-12-16,https://www.quintenews.com/2025/12/17/david-bell-fired-as-head-coach-of-the-belleville-senators-andrew-campbell-named-interim-head-coach/
20252026,BEL,Andrew Campbell,2025-12-17,2026-04-30,https://bellevillesens.com/belleville-senators-replace-david-bell-and-name-andrew-campbell-as-interim-head-coach/
