team,season,coach,from_date,to_date,source
HIFK,2022-23,Ville Peltonen,2022-09-01,2023-05-31,Grokipedia/Wikipedia
HPK,2022-23,Jarno Pikkarainen,2022-09-01,2023-05-31,Grokipedia/Wikipedia
Ilves,2022-23,Jouko Myrrä,2022-09-01,2022-10-05,Wikipedia
Ilves,2022-23,Antti Pennanen,2022-10-05,2023-05-31,Wikipedia
JYP,2022-23,Jukka Rautakorpi,2022-09-01,2023-05-31,Grokipedia/Wikipedia
Jukurit,2022-23,Olli Jokinen,2022-09-01,2023-05-31,Grokipedia/Wikipedia
KalPa,2022-23,Tommi Miettinen,2022-09-01,2023-05-31,Grokipedia/Wikipedia
KooKoo,2022-23,Olli Salo,2022-09-01,2023-05-31,Grokipedia/Wikipedia
Kärpät,2022-23,Lauri Marjamäki,2022-09-01,2023-05-31,EliteProspects/Wikipedia
Lukko,2022-23,Marko Virtanen,2022-09-01,2023-05-31,Grokipedia/Wikipedia/EliteProspects
Pelicans,2022-23,Tommi Niemelä,2022-09-01,2023-05-31,Grokipedia/Wikipedia
SaiPa,2022-23,Pekka Virta,2022-09-01,2022-10-14,Wikipedia
SaiPa,2022-23,Ville Hämäläinen,2022-10-14,2023-05-31,Wikipedia
Sport,2022-23,Risto Dufva,2022-09-01,2023-05-31,Grokipedia/Wikipedia
TPS,2022-23,Jussi Ahokas,2022-09-01,2023-05-31,Grokipedia/Wikipedia
Tappara,2022-23,Jussi Tapola,2022-09-01,2023-05-31,Grokipedia/Wikipedia/EliteProspects
Ässät,2022-23,Karri Kivi,2022-09-01,2023-05-31,Grokipedia/Wikipedia
HIFK,2023-24,Ville Peltonen,2023-09-01,2024-05-31,Wikipedia
HPK,2023-24,Matias Lehtonen,2023-09-01,2024-05-31,"Jatkoaika 23.09.2024 (Maso=Matias; fired Sep 2024, so full 23-24)"
Ilves,2023-24,Antti Pennanen,2023-09-01,2024-05-31,Wikipedia
JYP,2023-24,Jukka Rautakorpi,2023-09-01,2023-12-20,Wikipedia
JYP,2023-24,Mikko Heiskanen,2023-12-20,2024-05-31,Wikipedia
Jukurit,2023-24,Olli Jokinen,2023-09-01,2024-05-31,Wikipedia
KalPa,2023-24,Petri Karjalainen,2023-09-01,2024-05-31,Wikipedia
KooKoo,2023-24,Olli Salo,2023-09-01,2024-05-31,Wikipedia
Kärpät,2023-24,Lauri Marjamäki,2023-09-01,2023-12-18,Wikipedia
Kärpät,2023-24,Ville Mäntymaa,2023-12-18,2024-05-31,Wikipedia
Lukko,2023-24,Tomi Lämsä,2023-09-01,2024-05-31,Wikipedia
Pelicans,2023-24,Tommi Niemelä,2023-09-01,2024-05-31,Wikipedia
SaiPa,2023-24,Ville Hämäläinen,2023-09-01,2024-05-31,Wikipedia
Sport,2023-24,Risto Dufva,2023-09-01,2024-05-31,Wikipedia
TPS,2023-24,Tommi Miettinen,2023-09-01,2024-05-31,Wikipedia
Tappara,2023-24,Rikard Grönborg,2023-09-01,2024-05-31,Wikipedia
Ässät,2023-24,Jere Härkälä,2023-09-01,2024-05-31,Wikipedia
HIFK,2024-25,Ville Peltonen,2024-09-01,2025-05-31,Wikipedia
HPK,2024-25,Matias Lehtonen,2024-09-01,2024-09-23,Jatkoaika 23.09.2024 (verified)
HPK,2024-25,Mikko Manner,2024-09-23,2025-05-31,Wikipedia
Ilves,2024-25,Tommi Niemelä,2024-09-01,2025-05-31,Wikipedia
JYP,2024-25,Johan Pennerborn,2024-09-01,2025-05-31,Wikipedia
Jukurit,2024-25,Marko Tuomainen,2024-09-01,2025-01-14,Wikipedia
Jukurit,2024-25,Jonne Virtanen,2025-01-14,2025-05-31,Wikipedia
KalPa,2024-25,Petri Karjalainen,2024-09-01,2025-05-31,Wikipedia
Kiekko-Espoo,2024-25,Jyrki Aho,2024-09-01,2025-05-31,Wikipedia
KooKoo,2024-25,Jouko Myrrä,2024-09-01,2025-05-31,Wikipedia
Kärpät,2024-25,Ville Mäntymaa,2024-09-01,2025-03-03,Wikipedia
Kärpät,2024-25,Petri Matikainen,2025-03-03,2025-05-31,Wikipedia
Lukko,2024-25,Tomi Lämsä,2024-09-01,2025-05-31,Wikipedia
Pelicans,2024-25,Juhamatti Yli-Junnila,2024-09-01,2025-01-20,Wikipedia
Pelicans,2024-25,Sami Kapanen,2025-01-20,2025-05-31,Wikipedia
SaiPa,2024-25,Raimo Helminen,2024-09-01,2025-05-31,Wikipedia
Sport,2024-25,Juuso Hahl,2024-09-01,2025-05-31,Wikipedia
TPS,2024-25,Tommi Miettinen,2024-09-01,2025-05-31,Wikipedia
Tappara,2024-25,Rikard Grönborg,2024-09-01,2025-05-31,Wikipedia
Ässät,2024-25,Jarno Pikkarainen,2024-09-01,2025-05-31,Wikipedia
HIFK,2025-26,Olli Jokinen,2025-09-01,2026-05-31,"hifk.fi 25-26 staff page (Apr 25 = announcement, not mid-season)"
HPK,2025-26,Mikko Manner,2025-09-01,2026-05-31,Wikipedia
Ilves,2025-26,Tommi Niemelä,2025-09-01,2026-05-31,Wikipedia
JYP,2025-26,Petri Matikainen,2025-09-01,2026-05-31,Wikipedia
Jukurit,2025-26,Jonne Virtanen,2025-09-01,2026-05-31,Wikipedia
KalPa,2025-26,Sami Tervonen,2025-09-01,2026-05-31,Wikipedia
Kiekko-Espoo,2025-26,Jyrki Aho,2025-09-01,2026-05-31,EliteProspects staff/974 (current)
KooKoo,2025-26,Jouko Myrrä,2025-09-01,2026-05-31,Wikipedia
Kärpät,2025-26,Petri Karjalainen,2025-09-01,2026-05-31,Wikipedia
Lukko,2025-26,Tomi Lämsä,2025-09-01,2026-05-31,Wikipedia
Pelicans,2025-26,Sami Kapanen,2025-09-01,2026-05-31,Wikipedia
SaiPa,2025-26,Raimo Helminen,2025-09-01,2026-05-31,Wikipedia
