season,team,from_date,to_date,coach,evidence
2023,IK Oskarshamn,2022-09-29,2022-09-29,Martin Filander,"game 628989 lineups blank both sides; Filander HC in every bracketing IKO listing (628980 09-24, 628995 10-01) and sole IKO coach all season (26 listings)"
2023,Frölunda HC,2022-09-29,2022-09-29,Roger Rönnberg,"game 628989 lineups blank both sides; Rönnberg HC in bracketing FRÖ listings (629360 09-27, 628996 10-01) and all season bar a one-off 'Anders Burström' listing 10-08 (629012, flagged in handoff)"
2023,Brynäs IF,2023-01-05,2023-01-05,Mikko Manner,"game 629252 away side blank; Manner HC in bracketing BIF listings (629244 01-03, 629260 01-07) and sole BIF coach all season"
2023,HV 71,2023-01-31,2023-02-07,Johan Lindbom,"games 629318/629306/629325/629299 blank; Tommy Samuelsson fired 2023-01-30 (last listed 629344 01-28; smp.se 'HV71 sparkar tränaren - Lindbom tar över'), Lindbom's first game behind the bench = 01-31 HOME vs Timrå = 629318 exactly (svt.se/sport/ishockey/hv-timra-skal 'Trots tränarbytet - HV71 förlorade hemma mot Timrå', with Per Gustafsson; hockeysverige.se 2023-02-02); Lindbom listed from 629332 02-14 onward (02-14 sheet spells 'Lindholm' - raw variant, see handoff)"
2024,Luleå HF,2023-10-05,2023-10-05,Thomas Berglund,"game 774473 away side blank; Berglund HC in bracketing LHF listings (774461 09-30, 774481 10-07) and sole LHF coach all season"
2024,HV 71,2023-11-02,2023-11-16,Johan Lindbom,"games 774528/774534/774556 blank; Tomas Montén fired 2023-10-22, Lindbom HC from Monday 10-23 with Davidsson+Gustafsson staying as ASSISTANTS (hv71.se 'Johan Lindbom ny huvudtränare i HV71', hockeysverige.se 2023-10-22, confirmed permanent 12-07); Lindbom listed from 774563 11-18 continuously (note: 10-24/10-26/10-28 sheets list assistants Davidsson/Gustafsson in the HC slot - listing wins per join rule, discrepancy flagged in handoff)"
2024,HV 71,2024-01-20,2024-01-20,Johan Lindbom,"game 774783 away side blank; Lindbom HC in bracketing HV71 listings (774773 01-18, 774811 01-25) and continuously 11-18 to season end"
2024,Växjö Lakers HC,2023-11-16,2023-11-16,Jörgen Jönsson,"game 774548 away side blank; Jönsson HC in bracketing VÄX listings (774535 11-04, 774566 11-18) and sole VÄX coach all season"
2024,IF Malmö Redhawks,2023-11-30,2023-11-30,Tomas Kollar,"game 774615 blank both sides; Kollar HC in bracketing MIF listings (774590 11-26, 774620 12-02) and sole MIF coach all season"
2024,IK Oskarshamn,2023-11-30,2023-11-30,Martin Filander,"game 774615 blank both sides; Filander HC in bracketing IKO listings (774597 11-28, 774628 12-02) and sole IKO coach all season"
2024,Örebro HK,2024-01-25,2024-01-25,Niklas Eriksson,"game 774804 away side blank; Eriksson HC in bracketing ÖHK listings (774929 01-23, 774822 01-27; Hedberg era ended earlier in the season)"
2025,Brynäs IF,2025-01-09,2025-01-09,Niklas Gällstedt,"game 882211 away side blank; Gällstedt HC in bracketing BIF listings (882206 01-07, 882220 01-11) and sole BIF coach all season"
2025,Brynäs IF,2025-02-11,2025-02-11,Niklas Gällstedt,"game 882278 away side blank (GT batch 1 game); Gällstedt HC in bracketing BIF listings (882270 02-01, 882284 02-13) and sole BIF coach all season"
2026,Timrå IK,2025-11-27,2025-11-27,Tommy Samuelsson,"game 1004650 away side blank; Samuelsson HC in bracketing TIK listings (1004640 11-22, 1004656 11-29) and sole TIK coach all season"
2026,Linköping HC,2025-12-18,2025-12-18,Mikael Håkanson,"game 1004675 home side blank; Håkanson HC in bracketing LHC listings (1004671 12-06, 1004684 12-20) and sole LHC coach all season"
2026,Frölunda HC,2026-01-15,2026-01-15,Robert Ohlsson,"game 1004741 away side blank; Ohlsson HC in bracketing FRÖ listings (1004730 01-10, 1004743 01-17) and sole FRÖ coach all season"
