R,state,tier,P_leader_ge1_prob,P_leader_ge1_line10,P_total_ge1_prob,P_total_ge1_line10,P_margin_ge4_prob,P_margin_ge4_line10
900,not_pulled_EV,0.25,0.6965,1.579,0.8357,1.316,0.4053,2.714
900,not_pulled_EV,0.4,0.7224,1.523,0.8621,1.276,0.4335,2.537
900,not_pulled_EV,0.55,0.7439,1.479,0.8837,1.245,0.4572,2.406
900,not_pulled_EV,0.7,0.7618,1.444,0.9019,1.22,0.4772,2.305
900,not_pulled_EV,0.85,0.7798,1.411,0.9208,1.195,0.4997,2.201
900,not_pulled_PP,0.25,0.6905,1.593,0.8414,1.307,0.3811,2.886
900,not_pulled_PP,0.4,0.7161,1.536,0.8676,1.268,0.4088,2.691
900,not_pulled_PP,0.55,0.7367,1.493,0.8885,1.238,0.4324,2.544
900,not_pulled_PP,0.7,0.7538,1.459,0.9061,1.214,0.4517,2.435
900,not_pulled_PP,0.85,0.7716,1.426,0.9247,1.19,0.4742,2.32
900,pulled,0.25,0.8124,1.354,0.9876,1.114,0.4484,2.453
900,pulled,0.4,0.8124,1.354,0.9876,1.114,0.4484,2.453
900,pulled,0.55,0.8124,1.354,0.9876,1.114,0.4484,2.453
900,pulled,0.7,0.8125,1.354,0.9876,1.114,0.4485,2.453
900,pulled,0.85,0.8125,1.354,0.9877,1.114,0.4487,2.452
899,not_pulled_EV,0.25,0.6963,1.58,0.8355,1.317,0.4053,2.714
899,not_pulled_EV,0.4,0.7222,1.523,0.8619,1.276,0.4335,2.538
899,not_pulled_EV,0.55,0.7438,1.479,0.8836,1.245,0.4572,2.406
899,not_pulled_EV,0.7,0.7617,1.444,0.9018,1.22,0.4773,2.305
899,not_pulled_EV,0.85,0.7797,1.411,0.9207,1.195,0.4997,2.201
899,not_pulled_PP,0.25,0.6903,1.593,0.8412,1.308,0.3811,2.887
899,not_pulled_PP,0.4,0.7159,1.537,0.8674,1.268,0.4088,2.691
899,not_pulled_PP,0.55,0.7365,1.493,0.8883,1.238,0.4324,2.544
899,not_pulled_PP,0.7,0.7537,1.459,0.906,1.214,0.4518,2.435
899,not_pulled_PP,0.85,0.7715,1.426,0.9246,1.19,0.4742,2.32
899,pulled,0.25,0.8124,1.354,0.9875,1.114,0.4486,2.452
899,pulled,0.4,0.8124,1.354,0.9875,1.114,0.4486,2.452
899,pulled,0.55,0.8124,1.354,0.9875,1.114,0.4486,2.452
899,pulled,0.7,0.8125,1.354,0.9875,1.114,0.4487,2.452
899,pulled,0.85,0.8125,1.354,0.9876,1.114,0.4489,2.451
898,not_pulled_EV,0.25,0.6961,1.58,0.8353,1.317,0.4052,2.715
898,not_pulled_EV,0.4,0.722,1.523,0.8617,1.277,0.4335,2.538
898,not_pulled_EV,0.55,0.7437,1.479,0.8834,1.245,0.4572,2.406
898,not_pulled_EV,0.7,0.7616,1.444,0.9017,1.22,0.4773,2.304
898,not_pulled_EV,0.85,0.7796,1.411,0.9206,1.195,0.4997,2.201
898,not_pulled_PP,0.25,0.6901,1.594,0.841,1.308,0.381,2.887
898,not_pulled_PP,0.4,0.7157,1.537,0.8671,1.269,0.4087,2.691
898,not_pulled_PP,0.55,0.7364,1.494,0.8882,1.238,0.4324,2.544
898,not_pulled_PP,0.7,0.7536,1.46,0.9059,1.214,0.4518,2.435
898,not_pulled_PP,0.85,0.7714,1.426,0.9244,1.19,0.4742,2.32
898,pulled,0.25,0.8125,1.354,0.9875,1.114,0.4488,2.451
898,pulled,0.4,0.8125,1.354,0.9875,1.114,0.4488,2.451
898,pulled,0.55,0.8125,1.354,0.9875,1.114,0.4488,2.451
898,pulled,0.7,0.8125,1.354,0.9875,1.114,0.4489,2.451
898,pulled,0.85,0.8125,1.354,0.9876,1.114,0.4491,2.45
897,not_pulled_EV,0.25,0.696,1.581,0.835,1.317,0.4052,2.715
897,not_pulled_EV,0.4,0.7219,1.524,0.8615,1.277,0.4335,2.538
897,not_pulled_EV,0.55,0.7435,1.479,0.8833,1.245,0.4573,2.406
897,not_pulled_EV,0.7,0.7615,1.444,0.9016,1.22,0.4774,2.304
897,not_pulled_EV,0.85,0.7795,1.411,0.9205,1.195,0.4998,2.201
897,not_pulled_PP,0.25,0.6899,1.594,0.8408,1.308,0.381,2.887
897,not_pulled_PP,0.4,0.7154,1.538,0.8669,1.269,0.4087,2.692
897,not_pulled_PP,0.55,0.7362,1.494,0.888,1.239,0.4324,2.544
897,not_pulled_PP,0.7,0.7535,1.46,0.9058,1.214,0.4519,2.434
897,not_pulled_PP,0.85,0.7712,1.426,0.9243,1.19,0.4742,2.32
897,pulled,0.25,0.8125,1.354,0.9874,1.114,0.4489,2.45
897,pulled,0.4,0.8125,1.354,0.9874,1.114,0.4489,2.45
897,pulled,0.55,0.8125,1.354,0.9874,1.114,0.4489,2.45
897,pulled,0.7,0.8126,1.354,0.9874,1.114,0.449,2.45
897,pulled,0.85,0.8126,1.354,0.9875,1.114,0.4492,2.449
896,not_pulled_EV,0.25,0.6958,1.581,0.8348,1.318,0.4052,2.715
896,not_pulled_EV,0.4,0.7217,1.524,0.8612,1.277,0.4335,2.538
896,not_pulled_EV,0.55,0.7434,1.48,0.8831,1.246,0.4573,2.406
896,not_pulled_EV,0.7,0.7614,1.445,0.9015,1.22,0.4775,2.304
896,not_pulled_EV,0.85,0.7794,1.411,0.9204,1.195,0.4998,2.201
896,not_pulled_PP,0.25,0.6898,1.595,0.8405,1.309,0.381,2.887
896,not_pulled_PP,0.4,0.7152,1.538,0.8667,1.269,0.4086,2.692
896,not_pulled_PP,0.55,0.7361,1.494,0.8879,1.239,0.4324,2.544
896,not_pulled_PP,0.7,0.7533,1.46,0.9057,1.215,0.4519,2.434
896,not_pulled_PP,0.85,0.7711,1.426,0.9242,1.19,0.4742,2.32
896,pulled,0.25,0.8125,1.354,0.9874,1.114,0.4491,2.449
896,pulled,0.4,0.8125,1.354,0.9874,1.114,0.4491,2.449
896,pulled,0.55,0.8125,1.354,0.9874,1.114,0.4491,2.449
896,pulled,0.7,0.8126,1.354,0.9874,1.114,0.4492,2.449
896,pulled,0.85,0.8126,1.354,0.9875,1.114,0.4494,2.448
895,not_pulled_EV,0.25,0.6956,1.581,0.8346,1.318,0.4051,2.715
895,not_pulled_EV,0.4,0.7215,1.525,0.861,1.278,0.4335,2.538
895,not_pulled_EV,0.55,0.7433,1.48,0.883,1.246,0.4573,2.405
895,not_pulled_EV,0.7,0.7613,1.445,0.9014,1.22,0.4775,2.304
895,not_pulled_EV,0.85,0.7793,1.411,0.9203,1.195,0.4998,2.201
895,not_pulled_PP,0.25,0.6896,1.595,0.8403,1.309,0.381,2.888
895,not_pulled_PP,0.4,0.715,1.538,0.8665,1.27,0.4086,2.692
895,not_pulled_PP,0.55,0.7359,1.495,0.8877,1.239,0.4324,2.544
895,not_pulled_PP,0.7,0.7532,1.46,0.9056,1.215,0.452,2.434
895,not_pulled_PP,0.85,0.771,1.427,0.9241,1.19,0.4742,2.32
895,pulled,0.25,0.8125,1.354,0.9873,1.114,0.4493,2.448
895,pulled,0.4,0.8125,1.354,0.9873,1.114,0.4493,2.448
895,pulled,0.55,0.8125,1.354,0.9873,1.114,0.4493,2.448
895,pulled,0.7,0.8126,1.354,0.9873,1.114,0.4494,2.448
895,pulled,0.85,0.8126,1.354,0.9874,1.114,0.4496,2.447
894,not_pulled_EV,0.25,0.6954,1.582,0.8344,1.318,0.4051,2.715
894,not_pulled_EV,0.4,0.7213,1.525,0.8608,1.278,0.4334,2.538
894,not_pulled_EV,0.55,0.7431,1.48,0.8828,1.246,0.4573,2.405
894,not_pulled_EV,0.7,0.7612,1.445,0.9013,1.22,0.4776,2.303
894,not_pulled_EV,0.85,0.7793,1.412,0.9201,1.195,0.4998,2.201
894,not_pulled_PP,0.25,0.6894,1.596,0.8401,1.309,0.3809,2.888
894,not_pulled_PP,0.4,0.7148,1.539,0.8662,1.27,0.4086,2.692
894,not_pulled_PP,0.55,0.7358,1.495,0.8875,1.239,0.4324,2.544
894,not_pulled_PP,0.7,0.7531,1.461,0.9055,1.215,0.452,2.433
894,not_pulled_PP,0.85,0.7709,1.427,0.9239,1.191,0.4742,2.32
894,pulled,0.25,0.8125,1.354,0.9873,1.114,0.4495,2.447
894,pulled,0.4,0.8125,1.354,0.9873,1.114,0.4495,2.447
894,pulled,0.55,0.8125,1.354,0.9873,1.114,0.4495,2.447
894,pulled,0.7,0.8126,1.354,0.9873,1.114,0.4496,2.447
894,pulled,0.85,0.8126,1.354,0.9874,1.114,0.4498,2.446
893,not_pulled_EV,0.25,0.6952,1.582,0.8342,1.319,0.4051,2.716
893,not_pulled_EV,0.4,0.7211,1.525,0.8606,1.278,0.4334,2.538
893,not_pulled_EV,0.55,0.743,1.48,0.8827,1.246,0.4573,2.405
893,not_pulled_EV,0.7,0.7611,1.445,0.9012,1.221,0.4777,2.303
893,not_pulled_EV,0.85,0.7792,1.412,0.92,1.196,0.4999,2.201
893,not_pulled_PP,0.25,0.6892,1.596,0.8399,1.31,0.3809,2.888
893,not_pulled_PP,0.4,0.7146,1.539,0.866,1.27,0.4085,2.693
893,not_pulled_PP,0.55,0.7356,1.495,0.8874,1.24,0.4324,2.544
893,not_pulled_PP,0.7,0.753,1.461,0.9054,1.215,0.4521,2.433
893,not_pulled_PP,0.85,0.7708,1.427,0.9238,1.191,0.4742,2.32
893,pulled,0.25,0.8126,1.354,0.9872,1.114,0.4497,2.446
893,pulled,0.4,0.8126,1.354,0.9872,1.114,0.4497,2.446
893,pulled,0.55,0.8126,1.354,0.9872,1.114,0.4497,2.446
893,pulled,0.7,0.8127,1.354,0.9872,1.114,0.4497,2.446
893,pulled,0.85,0.8127,1.354,0.9873,1.114,0.45,2.445
892,not_pulled_EV,0.25,0.6951,1.583,0.8339,1.319,0.405,2.716
892,not_pulled_EV,0.4,0.721,1.526,0.8604,1.279,0.4334,2.538
892,not_pulled_EV,0.55,0.7429,1.481,0.8825,1.246,0.4574,2.405
892,not_pulled_EV,0.7,0.761,1.445,0.9011,1.221,0.4777,2.303
892,not_pulled_EV,0.85,0.7791,1.412,0.9199,1.196,0.4999,2.2
892,not_pulled_PP,0.25,0.689,1.596,0.8397,1.31,0.3809,2.888
892,not_pulled_PP,0.4,0.7143,1.54,0.8658,1.271,0.4085,2.693
892,not_pulled_PP,0.55,0.7355,1.496,0.8872,1.24,0.4324,2.544
892,not_pulled_PP,0.7,0.7529,1.461,0.9053,1.215,0.4521,2.433
892,not_pulled_PP,0.85,0.7706,1.427,0.9237,1.191,0.4742,2.32
892,pulled,0.25,0.8126,1.354,0.9872,1.114,0.4498,2.445
892,pulled,0.4,0.8126,1.354,0.9872,1.114,0.4498,2.445
892,pulled,0.55,0.8126,1.354,0.9872,1.114,0.4498,2.445
892,pulled,0.7,0.8127,1.354,0.9872,1.114,0.4499,2.445
892,pulled,0.85,0.8127,1.354,0.9873,1.114,0.4501,2.444
891,not_pulled_EV,0.25,0.6949,1.583,0.8337,1.319,0.405,2.716
891,not_pulled_EV,0.4,0.7208,1.526,0.8602,1.279,0.4334,2.538
891,not_pulled_EV,0.55,0.7428,1.481,0.8824,1.247,0.4574,2.405
891,not_pulled_EV,0.7,0.7609,1.446,0.901,1.221,0.4778,2.302
891,not_pulled_EV,0.85,0.779,1.412,0.9198,1.196,0.4999,2.2
891,not_pulled_PP,0.25,0.6888,1.597,0.8395,1.31,0.3808,2.888
891,not_pulled_PP,0.4,0.7141,1.54,0.8655,1.271,0.4084,2.693
891,not_pulled_PP,0.55,0.7353,1.496,0.8871,1.24,0.4324,2.544
891,not_pulled_PP,0.7,0.7528,1.461,0.9052,1.215,0.4522,2.433
891,not_pulled_PP,0.85,0.7705,1.428,0.9236,1.191,0.4742,2.319
891,pulled,0.25,0.8126,1.354,0.9871,1.114,0.45,2.444
891,pulled,0.4,0.8126,1.354,0.9871,1.114,0.45,2.444
891,pulled,0.55,0.8126,1.354,0.9871,1.114,0.45,2.444
891,pulled,0.7,0.8127,1.353,0.9871,1.114,0.4501,2.444
891,pulled,0.85,0.8127,1.353,0.9872,1.114,0.4503,2.443
890,not_pulled_EV,0.25,0.6947,1.583,0.8335,1.32,0.405,2.716
890,not_pulled_EV,0.4,0.7206,1.527,0.8599,1.279,0.4334,2.538
890,not_pulled_EV,0.55,0.7427,1.481,0.8822,1.247,0.4574,2.405
890,not_pulled_EV,0.7,0.7609,1.446,0.901,1.221,0.4778,2.302
890,not_pulled_EV,0.85,0.7789,1.412,0.9197,1.196,0.5,2.2
890,not_pulled_PP,0.25,0.6886,1.597,0.8393,1.311,0.3808,2.889
890,not_pulled_PP,0.4,0.7139,1.541,0.8653,1.271,0.4084,2.693
890,not_pulled_PP,0.55,0.7351,1.496,0.8869,1.24,0.4325,2.544
890,not_pulled_PP,0.7,0.7527,1.462,0.9052,1.215,0.4522,2.432
890,not_pulled_PP,0.85,0.7704,1.428,0.9234,1.191,0.4743,2.319
890,pulled,0.25,0.8126,1.354,0.987,1.114,0.4502,2.443
890,pulled,0.4,0.8126,1.354,0.987,1.114,0.4502,2.443
890,pulled,0.55,0.8126,1.354,0.987,1.114,0.4502,2.443
890,pulled,0.7,0.8127,1.353,0.987,1.114,0.4503,2.443
890,pulled,0.85,0.8127,1.353,0.9871,1.114,0.4505,2.442
889,not_pulled_EV,0.25,0.6945,1.584,0.8333,1.32,0.4049,2.717
889,not_pulled_EV,0.4,0.7204,1.527,0.8597,1.279,0.4334,2.538
889,not_pulled_EV,0.55,0.7425,1.481,0.8821,1.247,0.4574,2.405
889,not_pulled_EV,0.7,0.7608,1.446,0.9009,1.221,0.4779,2.302
889,not_pulled_EV,0.85,0.7788,1.412,0.9196,1.196,0.5,2.2
889,not_pulled_PP,0.25,0.6885,1.598,0.839,1.311,0.3808,2.889
889,not_pulled_PP,0.4,0.7137,1.541,0.8651,1.272,0.4084,2.694
889,not_pulled_PP,0.55,0.735,1.497,0.8867,1.24,0.4325,2.544
889,not_pulled_PP,0.7,0.7525,1.462,0.9051,1.215,0.4523,2.432
889,not_pulled_PP,0.85,0.7703,1.428,0.9233,1.191,0.4743,2.319
889,pulled,0.25,0.8127,1.354,0.987,1.114,0.4504,2.442
889,pulled,0.4,0.8127,1.354,0.987,1.114,0.4504,2.442
889,pulled,0.55,0.8127,1.354,0.987,1.114,0.4504,2.442
889,pulled,0.7,0.8128,1.353,0.987,1.114,0.4504,2.442
889,pulled,0.85,0.8128,1.353,0.9871,1.114,0.4507,2.441
888,not_pulled_EV,0.25,0.6943,1.584,0.8331,1.32,0.4049,2.717
888,not_pulled_EV,0.4,0.7202,1.527,0.8595,1.28,0.4334,2.538
888,not_pulled_EV,0.55,0.7424,1.482,0.8819,1.247,0.4574,2.405
888,not_pulled_EV,0.7,0.7607,1.446,0.9008,1.221,0.478,2.301
888,not_pulled_EV,0.85,0.7787,1.413,0.9195,1.196,0.5,2.2
888,not_pulled_PP,0.25,0.6883,1.598,0.8388,1.311,0.3807,2.889
888,not_pulled_PP,0.4,0.7135,1.542,0.8648,1.272,0.4083,2.694
888,not_pulled_PP,0.55,0.7348,1.497,0.8866,1.241,0.4325,2.544
888,not_pulled_PP,0.7,0.7524,1.462,0.905,1.216,0.4524,2.432
888,not_pulled_PP,0.85,0.7702,1.428,0.9232,1.192,0.4743,2.319
888,pulled,0.25,0.8127,1.354,0.9869,1.115,0.4506,2.441
888,pulled,0.4,0.8127,1.354,0.9869,1.115,0.4506,2.441
888,pulled,0.55,0.8127,1.354,0.9869,1.115,0.4506,2.441
888,pulled,0.7,0.8128,1.353,0.9869,1.115,0.4506,2.441
888,pulled,0.85,0.8128,1.353,0.987,1.114,0.4509,2.44
887,not_pulled_EV,0.25,0.6942,1.585,0.8328,1.321,0.4048,2.717
887,not_pulled_EV,0.4,0.7201,1.528,0.8593,1.28,0.4334,2.538
887,not_pulled_EV,0.55,0.7423,1.482,0.8818,1.248,0.4575,2.405
887,not_pulled_EV,0.7,0.7606,1.446,0.9007,1.221,0.478,2.301
887,not_pulled_EV,0.85,0.7786,1.413,0.9194,1.196,0.5,2.2
887,not_pulled_PP,0.25,0.6881,1.599,0.8386,1.312,0.3807,2.889
887,not_pulled_PP,0.4,0.7132,1.542,0.8646,1.272,0.4083,2.694
887,not_pulled_PP,0.55,0.7347,1.497,0.8864,1.241,0.4325,2.544
