R,state,tier,P_leader_ge1_prob,P_leader_ge1_line10,P_total_ge1_prob,P_total_ge1_line10,P_margin_ge4_prob,P_margin_ge4_line10
900,not_pulled_EV,0.25,0.7047,1.561,0.8264,1.331,0.4239,2.595
900,not_pulled_EV,0.4,0.7315,1.504,0.852,1.291,0.4566,2.409
900,not_pulled_EV,0.55,0.7542,1.458,0.8738,1.259,0.4855,2.266
900,not_pulled_EV,0.7,0.7782,1.414,0.8958,1.228,0.5159,2.132
900,not_pulled_EV,0.85,0.7995,1.376,0.9157,1.201,0.545,2.018
900,not_pulled_PP,0.25,0.6932,1.587,0.8253,1.333,0.4012,2.742
900,not_pulled_PP,0.4,0.7208,1.526,0.8515,1.292,0.4346,2.531
900,not_pulled_PP,0.55,0.7439,1.479,0.8735,1.259,0.4638,2.372
900,not_pulled_PP,0.7,0.7679,1.432,0.8955,1.228,0.4938,2.228
900,not_pulled_PP,0.85,0.7897,1.393,0.9158,1.201,0.5232,2.102
900,pulled,0.25,0.9909,1.11,0.9996,1.1,0.8441,1.303
900,pulled,0.4,0.9909,1.11,0.9996,1.1,0.8441,1.303
900,pulled,0.55,0.9909,1.11,0.9996,1.1,0.8441,1.303
900,pulled,0.7,0.9909,1.11,0.9996,1.1,0.8441,1.303
900,pulled,0.85,0.9909,1.11,0.9996,1.1,0.8442,1.303
899,not_pulled_EV,0.25,0.7044,1.562,0.8261,1.332,0.4237,2.596
899,not_pulled_EV,0.4,0.7312,1.504,0.8518,1.291,0.4565,2.41
899,not_pulled_EV,0.55,0.7541,1.459,0.8737,1.259,0.4855,2.265
899,not_pulled_EV,0.7,0.7781,1.414,0.8957,1.228,0.5159,2.132
899,not_pulled_EV,0.85,0.7994,1.376,0.9156,1.201,0.545,2.018
899,not_pulled_PP,0.25,0.6928,1.588,0.825,1.333,0.401,2.743
899,not_pulled_PP,0.4,0.7205,1.527,0.8513,1.292,0.4345,2.532
899,not_pulled_PP,0.55,0.7437,1.479,0.8733,1.26,0.4638,2.372
899,not_pulled_PP,0.7,0.7677,1.433,0.8954,1.229,0.4938,2.228
899,not_pulled_PP,0.85,0.7895,1.393,0.9157,1.201,0.5232,2.103
899,pulled,0.25,0.9909,1.11,0.9996,1.1,0.8441,1.303
899,pulled,0.4,0.9909,1.11,0.9996,1.1,0.8441,1.303
899,pulled,0.55,0.9909,1.11,0.9996,1.1,0.8441,1.303
899,pulled,0.7,0.9909,1.11,0.9996,1.1,0.8441,1.303
899,pulled,0.85,0.9909,1.11,0.9996,1.1,0.8442,1.303
898,not_pulled_EV,0.25,0.704,1.562,0.8258,1.332,0.4236,2.597
898,not_pulled_EV,0.4,0.731,1.505,0.8515,1.292,0.4564,2.41
898,not_pulled_EV,0.55,0.7539,1.459,0.8735,1.259,0.4856,2.265
898,not_pulled_EV,0.7,0.7779,1.414,0.8956,1.228,0.516,2.132
898,not_pulled_EV,0.85,0.7993,1.376,0.9155,1.202,0.545,2.018
898,not_pulled_PP,0.25,0.6925,1.588,0.8248,1.334,0.4009,2.744
898,not_pulled_PP,0.4,0.7202,1.527,0.851,1.293,0.4344,2.532
898,not_pulled_PP,0.55,0.7435,1.479,0.8732,1.26,0.4638,2.371
898,not_pulled_PP,0.7,0.7675,1.433,0.8952,1.229,0.4938,2.227
898,not_pulled_PP,0.85,0.7894,1.394,0.9155,1.201,0.5232,2.103
898,pulled,0.25,0.9908,1.11,0.9996,1.1,0.844,1.303
898,pulled,0.4,0.9908,1.11,0.9996,1.1,0.844,1.303
898,pulled,0.55,0.9908,1.11,0.9996,1.1,0.844,1.303
898,pulled,0.7,0.9908,1.11,0.9996,1.1,0.844,1.303
898,pulled,0.85,0.9908,1.11,0.9996,1.1,0.8441,1.303
897,not_pulled_EV,0.25,0.7037,1.563,0.8256,1.332,0.4234,2.598
897,not_pulled_EV,0.4,0.7307,1.505,0.8513,1.292,0.4563,2.41
897,not_pulled_EV,0.55,0.7538,1.459,0.8734,1.259,0.4856,2.265
897,not_pulled_EV,0.7,0.7778,1.414,0.8954,1.228,0.516,2.132
897,not_pulled_EV,0.85,0.7992,1.376,0.9154,1.202,0.545,2.018
897,not_pulled_PP,0.25,0.6921,1.589,0.8245,1.334,0.4007,2.745
897,not_pulled_PP,0.4,0.7199,1.528,0.8508,1.293,0.4343,2.533
897,not_pulled_PP,0.55,0.7433,1.48,0.873,1.26,0.4639,2.371
897,not_pulled_PP,0.7,0.7674,1.433,0.8951,1.229,0.4938,2.227
897,not_pulled_PP,0.85,0.7892,1.394,0.9154,1.202,0.5231,2.103
897,pulled,0.25,0.9908,1.11,0.9996,1.1,0.844,1.303
897,pulled,0.4,0.9908,1.11,0.9996,1.1,0.844,1.303
897,pulled,0.55,0.9908,1.11,0.9996,1.1,0.844,1.303
897,pulled,0.7,0.9908,1.11,0.9996,1.1,0.844,1.303
897,pulled,0.85,0.9908,1.11,0.9996,1.1,0.8441,1.303
896,not_pulled_EV,0.25,0.7034,1.564,0.8253,1.333,0.4232,2.599
