R,state,tier,P_leader_ge1_prob,P_leader_ge1_line10,P_total_ge1_prob,P_total_ge1_line10,P_margin_ge4_prob,P_margin_ge4_line10
900,not_pulled_EV,0.25,0.6742,1.632,0.8139,1.352,0.4073,2.701
900,not_pulled_EV,0.4,0.7004,1.571,0.84,1.31,0.4388,2.507
900,not_pulled_EV,0.55,0.7253,1.517,0.8641,1.273,0.4691,2.345
900,not_pulled_EV,0.7,0.7479,1.471,0.8867,1.241,0.4972,2.212
900,not_pulled_EV,0.85,0.7695,1.429,0.9082,1.211,0.526,2.091
900,not_pulled_PP,0.25,0.6683,1.646,0.8203,1.341,0.3845,2.861
900,not_pulled_PP,0.4,0.6937,1.586,0.8454,1.301,0.4158,2.646
900,not_pulled_PP,0.55,0.7176,1.533,0.8683,1.267,0.4447,2.474
900,not_pulled_PP,0.7,0.7394,1.488,0.8899,1.236,0.4719,2.331
900,not_pulled_PP,0.85,0.7608,1.446,0.9112,1.207,0.5009,2.196
900,pulled,0.25,0.9693,1.135,0.9938,1.107,0.7918,1.389
900,pulled,0.4,0.9693,1.135,0.9938,1.107,0.7918,1.389
900,pulled,0.55,0.9693,1.135,0.9938,1.107,0.7918,1.389
900,pulled,0.7,0.9693,1.135,0.9938,1.107,0.7918,1.389
900,pulled,0.85,0.9693,1.135,0.9938,1.107,0.7918,1.389
899,not_pulled_EV,0.25,0.6739,1.632,0.8136,1.352,0.4072,2.701
899,not_pulled_EV,0.4,0.7002,1.571,0.8397,1.31,0.4387,2.507
899,not_pulled_EV,0.55,0.7251,1.517,0.8639,1.273,0.469,2.345
899,not_pulled_EV,0.7,0.7477,1.471,0.8865,1.241,0.4971,2.213
899,not_pulled_EV,0.85,0.7694,1.43,0.908,1.211,0.5259,2.092
899,not_pulled_PP,0.25,0.668,1.647,0.82,1.342,0.3844,2.862
899,not_pulled_PP,0.4,0.6934,1.586,0.8451,1.302,0.4157,2.646
899,not_pulled_PP,0.55,0.7174,1.533,0.8681,1.267,0.4446,2.474
899,not_pulled_PP,0.7,0.7392,1.488,0.8897,1.236,0.4718,2.331
899,not_pulled_PP,0.85,0.7607,1.446,0.911,1.207,0.5009,2.196
899,pulled,0.25,0.9692,1.135,0.9938,1.107,0.7918,1.389
899,pulled,0.4,0.9692,1.135,0.9938,1.107,0.7918,1.389
899,pulled,0.55,0.9692,1.135,0.9938,1.107,0.7918,1.389
899,pulled,0.7,0.9692,1.135,0.9938,1.107,0.7918,1.389
899,pulled,0.85,0.9692,1.135,0.9938,1.107,0.7918,1.389
898,not_pulled_EV,0.25,0.6736,1.633,0.8132,1.353,0.4071,2.702
898,not_pulled_EV,0.4,0.6999,1.572,0.8394,1.31,0.4386,2.508
898,not_pulled_EV,0.55,0.7248,1.518,0.8636,1.274,0.4689,2.346
898,not_pulled_EV,0.7,0.7476,1.471,0.8863,1.241,0.4971,2.213
898,not_pulled_EV,0.85,0.7692,1.43,0.9079,1.212,0.5259,2.092
898,not_pulled_PP,0.25,0.6677,1.647,0.8196,1.342,0.3843,2.862
898,not_pulled_PP,0.4,0.6932,1.587,0.8448,1.302,0.4156,2.647
898,not_pulled_PP,0.55,0.7171,1.534,0.8678,1.268,0.4445,2.475
898,not_pulled_PP,0.7,0.739,1.488,0.8895,1.237,0.4718,2.331
898,not_pulled_PP,0.85,0.7605,1.446,0.9109,1.208,0.5008,2.196
898,pulled,0.25,0.9691,1.135,0.9937,1.107,0.7918,1.389
898,pulled,0.4,0.9691,1.135,0.9937,1.107,0.7918,1.389
898,pulled,0.55,0.9691,1.135,0.9937,1.107,0.7918,1.389
898,pulled,0.7,0.9691,1.135,0.9937,1.107,0.7918,1.389
898,pulled,0.85,0.9691,1.135,0.9937,1.107,0.7918,1.389
897,not_pulled_EV,0.25,0.6733,1.634,0.8129,1.353,0.407,2.703
897,not_pulled_EV,0.4,0.6996,1.572,0.8391,1.311,0.4385,2.508
897,not_pulled_EV,0.55,0.7246,1.518,0.8634,1.274,0.4688,2.346
897,not_pulled_EV,0.7,0.7474,1.472,0.8861,1.241,0.497,2.213
897,not_pulled_EV,0.85,0.7691,1.43,0.9077,1.212,0.5258,2.092
897,not_pulled_PP,0.25,0.6674,1.648,0.8193,1.343,0.3842,2.863
897,not_pulled_PP,0.4,0.6929,1.587,0.8445,1.302,0.4156,2.647
897,not_pulled_PP,0.55,0.7169,1.534,0.8676,1.268,0.4444,2.475
897,not_pulled_PP,0.7,0.7389,1.489,0.8893,1.237,0.4718,2.332
897,not_pulled_PP,0.85,0.7604,1.447,0.9107,1.208,0.5008,2.197
897,pulled,0.25,0.969,1.135,0.9937,1.107,0.7918,1.389
897,pulled,0.4,0.969,1.135,0.9937,1.107,0.7918,1.389
897,pulled,0.55,0.969,1.135,0.9937,1.107,0.7918,1.389
897,pulled,0.7,0.969,1.135,0.9937,1.107,0.7918,1.389
897,pulled,0.85,0.969,1.135,0.9937,1.107,0.7918,1.389
896,not_pulled_EV,0.25,0.6731,1.634,0.8126,1.354,0.4069,2.703
896,not_pulled_EV,0.4,0.6994,1.573,0.8389,1.311,0.4385,2.509
896,not_pulled_EV,0.55,0.7244,1.518,0.8631,1.274,0.4687,2.347
896,not_pulled_EV,0.7,0.7472,1.472,0.8859,1.242,0.4969,2.214
896,not_pulled_EV,0.85,0.769,1.43,0.9076,1.212,0.5257,2.092
896,not_pulled_PP,0.25,0.6671,1.649,0.819,1.343,0.3841,2.864
896,not_pulled_PP,0.4,0.6927,1.588,0.8442,1.303,0.4155,2.648
896,not_pulled_PP,0.55,0.7167,1.535,0.8673,1.268,0.4443,2.476
896,not_pulled_PP,0.7,0.7387,1.489,0.8891,1.237,0.4717,2.332
896,not_pulled_PP,0.85,0.7602,1.447,0.9106,1.208,0.5007,2.197
896,pulled,0.25,0.9689,1.135,0.9936,1.107,0.7917,1.389
896,pulled,0.4,0.9689,1.135,0.9936,1.107,0.7917,1.389
896,pulled,0.55,0.9689,1.135,0.9936,1.107,0.7917,1.389
896,pulled,0.7,0.9689,1.135,0.9936,1.107,0.7917,1.389
896,pulled,0.85,0.9689,1.135,0.9936,1.107,0.7918,1.389
