gap,state,direction,goals,exposure_secs,rate_per_60min,ci_lo_per_60,ci_hi_per_60,seasons_detail
2,EN_ev,for,233,106455.0,7.879385655910949,6.900005229295963,8.95878536739957,20222023:60g/22809s; 20232024:49g/27299s; 20242025:63g/29676s; 20252026:61g/26671s
2,EN_ev,against,801,106455.0,27.087501761307593,25.243820024270242,29.030225571028883,20222023:171g/22809s; 20232024:204g/27299s; 20242025:213g/29676s; 20252026:213g/26671s
2,EN_pk,for,0,199.0,0.0,0.0,54.27135678391959,20222023:0g/51s; 20232024:0g/14s; 20242025:0g/63s; 20252026:0g/71s
2,EN_pk,against,8,199.0,144.72361809045228,62.314960950628006,285.1807385484043,20222023:3g/51s; 20232024:1g/14s; 20242025:3g/63s; 20252026:1g/71s
2,EN_pp,for,43,12528.0,12.35632183908046,8.9413736932893,16.64437887304422,20222023:7g/2757s; 20232024:13g/3423s; 20242025:16g/3545s; 20252026:7g/2803s
2,EN_pp,against,50,12528.0,14.367816091954024,10.663187256619153,18.94266146153899,20222023:13g/2757s; 20232024:12g/3423s; 20242025:13g/3545s; 20252026:12g/2803s
2,EV_full,for,753,1066452.0,2.541886554669127,2.36354506583469,2.7301181958649834,20222023:196g/263633s; 20232024:166g/274207s; 20242025:193g/287643s; 20252026:198g/240969s
2,EV_full,against,727,1066452.0,2.4541188914268997,2.278939724533782,2.639190312320308,20222023:189g/263633s; 20232024:194g/274207s; 20242025:179g/287643s; 20252026:165g/240969s
2,TPK_full,for,26,101966.0,0.9179530431712533,0.5994804470084927,1.3450758025230822,20222023:8g/24737s; 20232024:7g/30929s; 20242025:4g/24377s; 20252026:7g/21923s
2,TPK_full,against,181,101966.0,6.390365415922955,5.493212893795751,7.392235713572336,20222023:57g/24737s; 20232024:41g/30929s; 20242025:44g/24377s; 20252026:39g/21923s
2,TPP_full,for,238,119572.0,7.165557153848727,6.283997931694963,8.136143787138835,20222023:56g/29439s; 20232024:60g/33791s; 20242025:61g/28199s; 20252026:61g/28143s
2,TPP_full,against,25,119572.0,0.7526845749841099,0.4869607632490037,1.1111636295677618,20222023:6g/29439s; 20232024:12g/33791s; 20242025:3g/28199s; 20252026:4g/28143s
3,EN_ev,for,66,28662.0,8.289721582583212,6.410935455625544,10.546764386594823,20222023:10g/5516s; 20232024:18g/5582s; 20242025:23g/8030s; 20252026:15g/9534s
3,EN_ev,against,182,28662.0,22.859535273184008,19.658745705646187,26.43283744236179,20222023:46g/5516s; 20232024:33g/5582s; 20242025:49g/8030s; 20252026:54g/9534s
3,EN_pk,for,0,1.0,0.0,0.0,10800.0,20222023:0g/1s; 20232024:0g/0s; 20242025:0g/0s; 20252026:0g/0s
3,EN_pk,against,0,1.0,0.0,0.0,10800.0,20222023:0g/1s; 20232024:0g/0s; 20242025:0g/0s; 20252026:0g/0s
3,EN_pp,for,32,7893.0,14.59521094640821,9.981318048946509,20.604882457585862,20222023:8g/1693s; 20232024:9g/1716s; 20242025:8g/2286s; 20252026:7g/2198s
3,EN_pp,against,35,7893.0,15.96351197263398,11.117465480128182,22.20217721097564,20222023:11g/1693s; 20232024:6g/1716s; 20242025:9g/2286s; 20252026:9g/2198s
3,EV_full,for,426,679342.0,2.2574785601361316,2.048161530572148,2.4823826242100404,20222023:104g/178308s; 20232024:123g/184482s; 20242025:98g/158933s; 20252026:101g/157619s
