gap,state,direction,secs_left_lo,secs_left_hi,goals,exposure_secs,rate_per_60min
2,EV_full,for,0,90,6,28541,0.7568059983882836
2,EV_full,for,90,180,7,29004,0.8688456764584195
2,EV_full,for,180,270,43,70438,2.197677390045146
2,EV_full,for,270,360,54,86978,2.23504794315804
2,EV_full,for,360,480,94,118330,2.8597988675737347
2,EV_full,for,480,600,99,116588,3.0569183792500083
2,EV_full,for,600,900,244,304726,2.8825896050878494
2,EV_full,for,900,1200,206,311847,2.3780892553078914
2,EV_full,against,0,90,13,28541,1.639746329841281
2,EV_full,against,90,180,15,29004,1.8618121638394705
2,EV_full,against,180,270,53,70438,2.708765155171924
2,EV_full,against,270,360,49,86978,2.0280990595322956
2,EV_full,against,360,480,78,118330,2.373024592242035
2,EV_full,against,480,600,75,116588,2.315847257007582
2,EV_full,against,600,900,220,304726,2.5990562013087164
2,EV_full,against,900,1200,224,311847,2.5858834620823674
2,EN_ev,for,0,60,64,30231,7.621315867817803
2,EN_ev,for,60,120,63,32167,7.050704137780955
2,EN_ev,for,120,180,61,26352,8.333333333333332
2,EN_ev,for,180,300,37,16964,7.851921716576278
2,EN_ev,for,300,1200,8,741,
2,EN_ev,against,0,60,274,30231,32.62875855909497
2,EN_ev,against,60,120,241,32167,26.97174122547953
2,EN_ev,against,120,180,179,26352,24.453551912568308
2,EN_ev,against,180,300,105,16964,22.28248054704079
2,EN_ev,against,300,1200,2,741,
3,EV_full,for,0,90,40,77170,1.8660101075547493
3,EV_full,for,90,180,18,54248,1.194514083468515
3,EV_full,for,180,270,18,43119,1.5028177833437695
3,EV_full,for,270,360,32,44903,2.565530142752155
3,EV_full,for,360,480,37,65946,2.019834409971795
3,EV_full,for,480,600,55,68130,2.906208718626156
3,EV_full,for,600,900,121,170326,2.557448657280744
3,EV_full,for,900,1200,105,155500,2.4308681672025725
3,EV_full,against,0,90,37,77170,1.7260593494881429
3,EV_full,against,90,180,35,54248,2.3226662734110013
3,EV_full,against,180,270,28,43119,2.3377165518680862
3,EV_full,against,270,360,37,44903,2.966394227557179
3,EV_full,against,360,480,48,65946,2.620325721044491
3,EV_full,against,480,600,53,68130,2.8005284015852046
3,EV_full,against,600,900,119,170326,2.5151767786480046
3,EV_full,against,900,1200,84,155500,1.9446945337620578
3,EN_ev,for,0,60,7,1781,14.149354295339696
3,EN_ev,for,60,120,9,4617,7.017543859649122
3,EN_ev,for,120,180,18,6287,10.306982662637187
3,EN_ev,for,180,300,21,11283,6.700345652751928
3,EN_ev,for,300,1200,11,4694,8.436301661695781
3,EN_ev,against,0,60,22,1781,44.46939921392477
3,EN_ev,against,60,120,30,4617,23.391812865497073
3,EN_ev,against,120,180,45,6287,25.76745665659297
3,EN_ev,against,180,300,64,11283,20.420101036958254
3,EN_ev,against,300,1200,21,4694,16.105666808691947
4,EV_full,for,0,90,27,41601,2.3364822960986515
4,EV_full,for,90,180,23,37188,2.2265246853823815
4,EV_full,for,180,270,23,32245,2.5678399751899517
4,EV_full,for,270,360,20,28444,2.5312895513992406
4,EV_full,for,360,480,20,35341,2.03729379474265
4,EV_full,for,480,600,22,34546,2.2925953800729464
4,EV_full,for,600,900,48,73288,2.357821198559109
4,EV_full,for,900,1200,41,68992,2.139378478664193
4,EV_full,against,0,90,20,41601,1.7307276267397418
4,EV_full,against,90,180,19,37188,1.8393030009680542
4,EV_full,against,180,270,27,32245,3.014420840440378
4,EV_full,against,270,360,20,28444,2.5312895513992406
4,EV_full,against,360,480,33,35341,3.3615347613253728
4,EV_full,against,480,600,26,34546,2.709430903722573
4,EV_full,against,600,900,58,73288,2.8490339482589238
4,EV_full,against,900,1200,39,68992,2.035018552875696
4,EN_ev,for,0,60,0,0,
4,EN_ev,for,60,120,0,0,
4,EN_ev,for,120,180,1,0,
4,EN_ev,for,180,300,0,179,
4,EN_ev,for,300,1200,4,269,
4,EN_ev,against,0,60,0,0,
4,EN_ev,against,60,120,0,0,
4,EN_ev,against,120,180,0,0,
4,EN_ev,against,180,300,2,179,
4,EN_ev,against,300,1200,2,269,
