season,date,game_id,gap_when_pulled,trailing_team,coach,secs_left_at_first_evidence,during_own_powerplay
20222023,2022-10-07,2022020001,2,SJS,David Quinn,98,False
20222023,2022-10-11,2022020003,2,TBL,Jon Cooper,108,False
20222023,2022-10-12,2022020005,2,WSH,Peter Laviolette,179,False
20222023,2022-10-13,2022020012,2,NJD,Lindy Ruff,247,False
20222023,2022-10-13,2022020013,2,OTT,D.J. Smith,31,False
20222023,2022-10-13,2022020014,2,NYI,Lane Lambert,43,False
20222023,2022-10-13,2022020018,2,COL,Jared Bednar,131,False
20222023,2022-10-13,2022020020,2,LAK,Todd McLellan,182,False
20222023,2022-10-14,2022020022,2,MTL,Martin St. Louis,54,False
20222023,2022-10-14,2022020023,2,NYR,Gerard Gallant,64,False
20222023,2022-10-15,2022020027,2,ARI,André Tourigny,195,False
20222023,2022-10-15,2022020029,2,MTL,Martin St. Louis,91,False
20222023,2022-10-17,2022020039,2,ANA,Dallas Eakins,92,False
20222023,2022-10-17,2022020041,2,FLA,Paul Maurice,299,True
20222023,2022-10-17,2022020041,2,FLA,Paul Maurice,54,False
20222023,2022-10-17,2022020043,2,VAN,Bruce Boudreau,38,False
20222023,2022-10-17,2022020045,2,MIN,Dean Evason,187,False
20222023,2022-10-18,2022020048,2,ANA,Dallas Eakins,92,False
20222023,2022-10-18,2022020049,2,BOS,Jim Montgomery,119,False
20222023,2022-10-18,2022020051,2,SJS,David Quinn,146,False
20222023,2022-10-18,2022020054,2,EDM,Jay Woodcroft,120,False
20222023,2022-10-19,2022020056,2,PHI,John Tortorella,268,False
20222023,2022-10-20,2022020063,2,NSH,John Hynes,37,False
20222023,2022-10-20,2022020065,2,WSH,Peter Laviolette,24,False
20222023,2022-10-20,2022020066,2,NYI,Lane Lambert,188,True
20222023,2022-10-20,2022020068,2,CGY,Darryl Sutter,280,False
20222023,2022-10-20,2022020070,2,WPG,Rick Bowness,224,False
20222023,2022-10-22,2022020077,2,EDM,Jay Woodcroft,23,False
20222023,2022-10-22,2022020080,2,NYI,Lane Lambert,137,False
20222023,2022-10-22,2022020082,2,WPG,Rick Bowness,157,False
20222023,2022-10-22,2022020083,2,NSH,John Hynes,117,False
20222023,2022-10-22,2022020084,2,VAN,Bruce Boudreau,209,False
20222023,2022-10-23,2022020091,2,PHI,John Tortorella,281,False
20222023,2022-10-24,2022020092,2,DAL,Peter DeBoer,71,False
20222023,2022-10-24,2022020096,2,TOR,Sheldon Keefe,243,False
20222023,2022-10-25,2022020106,2,TBL,Jon Cooper,93,False
20222023,2022-10-25,2022020107,2,SJS,David Quinn,268,False
20222023,2022-10-27,2022020113,2,OTT,D.J. Smith,78,True
20222023,2022-10-27,2022020117,2,WSH,Peter Laviolette,230,True
20222023,2022-10-27,2022020118,2,SEA,Dave Hakstol,60,False
20222023,2022-10-28,2022020124,2,CAR,Rod Brind'Amour,599,False
20222023,2022-10-29,2022020133,2,STL,Craig Berube,158,False
20222023,2022-10-29,2022020134,2,TOR,Sheldon Keefe,188,True
20222023,2022-10-29,2022020135,2,COL,Jared Bednar,56,False
20222023,2022-10-29,2022020136,2,NSH,John Hynes,249,False
20222023,2022-11-01,2022020151,2,MTL,Martin St. Louis,211,False
20222023,2022-11-01,2022020154,2,NSH,John Hynes,152,False
20222023,2022-11-01,2022020156,2,FLA,Paul Maurice,44,False
20222023,2022-11-01,2022020157,2,VAN,Bruce Boudreau,129,False
20222023,2022-11-02,2022020160,2,PIT,Mike Sullivan,17,False
20222023,2022-11-03,2022020161,2,NYR,Gerard Gallant,78,False
20222023,2022-11-03,2022020166,2,STL,Craig Berube,153,False
20222023,2022-11-03,2022020169,2,CGY,Darryl Sutter,140,False
20222023,2022-11-03,2022020171,2,ANA,Dallas Eakins,108,True
20222023,2022-11-04,2022020174,2,BUF,Don Granato,147,False
20222023,2022-11-04,2022020175,2,CBJ,Brad Larsen,199,False
20222023,2022-11-05,2022020184,2,MTL,Martin St. Louis,118,False
20222023,2022-11-06,2022020191,2,CAR,Rod Brind'Amour,151,False
20222023,2022-11-06,2022020192,2,ANA,Dallas Eakins,116,False
20222023,2022-11-06,2022020192,2,ANA,Dallas Eakins,1,False
20222023,2022-11-07,2022020194,2,STL,Craig Berube,182,False
20222023,2022-11-07,2022020195,2,EDM,Jay Woodcroft,66,False
20222023,2022-11-08,2022020196,2,BUF,Don Granato,137,False
20222023,2022-11-08,2022020200,2,OTT,D.J. Smith,176,True
20222023,2022-11-08,2022020200,2,OTT,D.J. Smith,13,True
20222023,2022-11-09,2022020207,2,CAR,Rod Brind'Amour,167,False
20222023,2022-11-09,2022020208,2,WSH,Peter Laviolette,96,False
20222023,2022-11-10,2022020214,2,PHI,John Tortorella,77,False
20222023,2022-11-10,2022020215,2,BUF,Don Granato,117,True
20222023,2022-11-10,2022020219,2,NSH,John Hynes,192,False
20222023,2022-11-11,2022020223,2,DAL,Peter DeBoer,664,False
20222023,2022-11-12,2022020225,2,PHI,John Tortorella,251,False
20222023,2022-11-12,2022020227,2,ARI,André Tourigny,114,False
20222023,2022-11-12,2022020233,2,CAR,Rod Brind'Amour,130,False
20222023,2022-11-12,2022020237,2,DET,Derek Lalonde,228,False
20222023,2022-11-13,2022020241,2,VAN,Bruce Boudreau,183,True
20222023,2022-11-14,2022020246,2,LAK,Todd McLellan,108,False
20222023,2022-11-15,2022020251,2,PIT,Mike Sullivan,182,False
20222023,2022-11-15,2022020253,2,WSH,Peter Laviolette,525,False
20222023,2022-11-15,2022020253,2,WSH,Peter Laviolette,155,False
20222023,2022-11-15,2022020256,2,VGK,Bruce Cassidy,85,False
20222023,2022-11-16,2022020257,2,BUF,Don Granato,110,True
20222023,2022-11-16,2022020259,2,EDM,Jay Woodcroft,39,False
20222023,2022-11-17,2022020260,2,CGY,Darryl Sutter,104,False
20222023,2022-11-17,2022020263,2,MTL,Martin St. Louis,106,False
20222023,2022-11-17,2022020268,2,MIN,Dean Evason,226,False
20222023,2022-11-17,2022020269,2,WSH,Peter Laviolette,296,True
20222023,2022-11-17,2022020272,2,SJS,David Quinn,188,False
20222023,2022-11-19,2022020281,2,WPG,Rick Bowness,60,False
20222023,2022-11-19,2022020284,2,NYI,Lane Lambert,115,False
20222023,2022-11-19,2022020288,2,SJS,David Quinn,67,False
20222023,2022-11-20,2022020289,2,FLA,Paul Maurice,221,False
20222023,2022-11-20,2022020289,2,FLA,Paul Maurice,43,False
20222023,2022-11-21,2022020291,2,TBL,Jon Cooper,235,False
20222023,2022-11-21,2022020292,2,PHI,John Tortorella,37,False
20222023,2022-11-21,2022020294,2,CAR,Rod Brind'Amour,212,False
20222023,2022-11-23,2022020304,2,BOS,Jim Montgomery,705,True
20222023,2022-11-23,2022020306,2,CBJ,Brad Larsen,72,False
20222023,2022-11-23,2022020311,2,NSH,John Hynes,112,False
20222023,2022-11-23,2022020315,2,OTT,D.J. Smith,105,False
20222023,2022-11-23,2022020316,2,SJS,David Quinn,171,False
20222023,2022-11-25,2022020322,2,MIN,Dean Evason,266,False
20222023,2022-11-25,2022020327,2,BUF,Don Granato,194,False
20222023,2022-11-25,2022020328,2,STL,Craig Berube,243,False
20222023,2022-11-25,2022020329,2,VGK,Bruce Cassidy,81,False
20222023,2022-11-25,2022020330,2,DAL,Peter DeBoer,157,True
20222023,2022-11-25,2022020331,2,SJS,David Quinn,231,True
20222023,2022-11-27,2022020341,2,ARI,André Tourigny,108,False
20222023,2022-11-28,2022020348,2,DET,Derek Lalonde,157,False
20222023,2022-11-28,2022020350,2,STL,Craig Berube,155,False
20222023,2022-11-29,2022020355,2,TBL,Jon Cooper,22,False
20222023,2022-11-30,2022020362,2,OTT,D.J. Smith,138,True
20222023,2022-11-30,2022020363,2,SJS,David Quinn,59,False
20222023,2022-11-30,2022020364,2,CHI,Luke Richardson,76,True
20222023,2022-12-01,2022020369,2,STL,Craig Berube,65,False
20222023,2022-12-02,2022020377,2,NYI,Lane Lambert,49,False
20222023,2022-12-03,2022020381,2,MTL,Martin St. Louis,118,False
20222023,2022-12-03,2022020386,2,DET,Derek Lalonde,204,False
20222023,2022-12-03,2022020387,2,NYR,Gerard Gallant,142,True
20222023,2022-12-03,2022020390,2,WSH,Peter Laviolette,44,True
20222023,2022-12-03,2022020391,2,LAK,Todd McLellan,110,False
20222023,2022-12-04,2022020392,2,ANA,Dallas Eakins,103,False
20222023,2022-12-04,2022020394,2,CBJ,Brad Larsen,116,False
